Alignment ID,Ontology,metric,value,se,sample_id,genotype
25-hydroxycholecalciferol(M+H)_24.36,Vitamin_D,BA_Asyn,0.3436908100495355,0.52488029471073,A2,APOE2
AHexCer 46:1;O3|AHexCer (O-15:0)31:1;O3(M+H-[H2O])_39.35,AHexCer,BA_Asyn,0.2920351618662787,0.060651498030188,A2,APOE2
AHexCer 55:6;O3|AHexCer (O-18:1)37:5;O3(M+H-[H2O])_39.74,AHexCer,BA_Asyn,0.6856878813876462,0.0974406178282923,A2,APOE2
AHexCer 56:1;O3|AHexCer (O-16:0)40:1;O3(M+H-[H2O])_39.48,AHexCer,BA_Asyn,0.2752830888963787,0.0588190961862102,A2,APOE2
AHexCer 57:1;O3|AHexCer (O-16:0)18:1;O2/23:0;O(M+H)_39.64,AHexCer,BA_Asyn,0.0696644639763187,0.0087145742791069,A2,APOE2
AHexCer 58:1;O3|AHexCer (O-16:0)42:1;O3(M+H)_39.86,AHexCer,BA_Asyn,0.0831901234305746,0.014897297942818,A2,APOE2
AHexCer 58:1;O3|AHexCer (O-17:0)41:1;O3(M+H-[H2O])_39.62,AHexCer,BA_Asyn,0.9928981079405652,1.7257715615108942,A2,APOE2
AHexCer 58:2;O3|AHexCer (O-18:1)40:1;O3(M+H)_39.48,AHexCer,BA_Asyn,0.357054979609505,0.4235430407059816,A2,APOE2
AHexCer 59:1;O3|AHexCer (O-18:0)41:1;O3(M+H)_39.99,AHexCer,BA_Asyn,0.0680463986257543,0.012392448631119,A2,APOE2
AHexCer 59:8;O2|AHexCer (O-15:0)44:8;O2(M+H-[H2O])_39.23,AHexCer,BA_Asyn,0.5404696046399876,0.1214801690000422,A2,APOE2
AHexCer 60:1;O3|AHexCer (O-18:0)42:1;O3(M+H)_40.12,AHexCer,BA_Asyn,0.0671233950152669,0.0114243939063034,A2,APOE2
AHexCer 60:2;O3|AHexCer (O-18:1)18:1;O2/24:0;O(M+H)_39.86,AHexCer,BA_Asyn,0.0931849929708524,0.0172196752102311,A2,APOE2
C18-Sphingosine(M+H)_18,C18-Sphingosine(M+H)_18,BA_Asyn,0.3348133509439642,0.0426005992792456,A2,APOE2
CAR 16:0(M+H)_16.86,CAR,BA_Asyn,0.8910023968467957,0.0642802430913753,A2,APOE2
CAR 18:0(M+H)_19.78,CAR,BA_Asyn,0.6741852330457893,0.0729012386373269,A2,APOE2
CE 18:1(d7)(M+NH4)_41.64,CE,BA_Asyn,0.3782295189569908,254.98887837963264,A2,APOE2
CE 18:2(M+NH4)_41,CE,BA_Asyn,0.7014758405877403,0.0291642394356269,A2,APOE2
CE 18:3(M+NH4)_40.5,CE,BA_Asyn,0.6653264915778694,0.0505780054341184,A2,APOE2
CE 20:4(M+NH4)_40.75,CE,BA_Asyn,0.7404640803417027,0.0321551154919312,A2,APOE2
CE 22:6(M+NH4)_40.4,CE,BA_Asyn,0.3533820523637201,0.0930066715951963,A2,APOE2
CL 70:4|CL 34:2_36:2(M+NH4)_39.1,CL,BA_Asyn,0.4803252644350384,0.0398121073521749,A2,APOE2
CL 72:5|CL 36:2_36:3(M+NH4)_39.22,CL,BA_Asyn,0.336291453454953,0.0337670325895002,A2,APOE2
CL 74:7|CL 36:2_38:5(M+NH4)_39.1,CL,BA_Asyn,0.388915888478082,0.0924365931827116,A2,APOE2
CL 76:5|CL 39:1_37:4(M-H)_35.04,CL,BA_Asyn,0.8411033868643873,0.0383505044343401,A2,APOE2
CL 76:9|CL 36:2_40:7(M+NH4)_38.98,CL,BA_Asyn,0.9933824313797802,1.881169461689025,A2,APOE2
CL 78:7|CL 41:2_37:5(M-H)_35.04,CL,BA_Asyn,1.0,0.0344959485850189,A2,APOE2
CL 79:5(M+NH4)_34.52,CL,BA_Asyn,1.0,0.1817725722385965,A2,APOE2
CL 79:6|CL 36:1_43:5(M-H)_34.4,CL,BA_Asyn,0.917346229933685,0.0534125172077719,A2,APOE2
CL 79:9|CL 38:4_41:5(M-H)_32.37,CL,BA_Asyn,0.9917537737126036,0.0464250830091824,A2,APOE2
CL 80:6|CL 36:1_44:5(M-H)_34.4,CL,BA_Asyn,1.0,0.0570905811049637,A2,APOE2
CL 90:18|CL 46:6_44:12(M-H)_30.21,CL,BA_Asyn,0.0001635857710057,0.016470415803317,A2,APOE2
Cer 36:1;O2|Cer 18:1;O2/18:0(M+H-[H2O])_36.56,Cer_NS,BA_Asyn,1.0,0.202766631982668,A2,APOE2
Cer 36:1;O2|Cer 18:1;O2/18:0(M+H-[H2O])_38.34,Cer_NS,BA_Asyn,1.0,0.1123636983257921,A2,APOE2
Cer 36:1;O2|Cer 18:1;O2/18:0(M-H)_36.56,Cer_NS,BA_Asyn,0.9835585098147772,0.1325811595186794,A2,APOE2
Cer 36:2;O2|Cer 18:2;O2/18:0(M+H-[H2O])_34.9,Cer_NS,BA_Asyn,1.0,0.0730845630778223,A2,APOE2
Cer 37:1;O4|Cer 18:0;O3/19:1(2OH)(M-H)_36.56,Cer_AP,BA_Asyn,1.0,0.0830828880930212,A2,APOE2
Cer 38:1;O2|Cer 20:1;O2/18:0(M+H-[H2O])_37.58,Cer_NS,BA_Asyn,0.8660318890226292,0.131281620840521,A2,APOE2
Cer 38:1;O2|Cer 20:1;O2/18:0(M+H-[H2O])_38.85,Cer_NS,BA_Asyn,0.8514621352678371,0.0488796158409727,A2,APOE2
Cer 41:1;O2|Cer 18:1;O2/23:0(M+H)_38.47,Cer_NS,BA_Asyn,0.5624259098540138,0.0569971893479196,A2,APOE2
Cer 41:1;O4|Cer 26:0;O3(FA 15:0)(M-H)_38.22,Cer_EODS,BA_Asyn,0.5396840393323242,0.0293145405447884,A2,APOE2
Cer 42:1;O2|Cer 26:1;O2/16:0(M+Na)_38.98,Cer_NS,BA_Asyn,0.0952872429040676,0.019025678919614,A2,APOE2
Cer 42:2;O2|Cer 18:1;O2/24:1(M+H)_38.09,Cer_NS,BA_Asyn,0.3047773733406553,0.0682069047365469,A2,APOE2
Cer 42:2;O2|Cer 18:1;O2/24:1(M+H-[H2O])_38.2,Cer_NS,BA_Asyn,0.3496239673957411,0.0806323233052797,A2,APOE2
Cer 42:2;O2|Cer 18:1;O2/24:1(M+H-[H2O])_39.23,Cer_NS,BA_Asyn,0.2262362365695522,0.0152092245380696,A2,APOE2
Cer 56:11;O4|Cer 38:9;O3(FA 18:1)(+C2H3O2-)_38.48,Cer_EOS,BA_Asyn,1.0,0.385915961954958,A2,APOE2
CoQ10(M+H)_39.35,CoQ,BA_Asyn,0.5117543611397649,0.1668742810748503,A2,APOE2
CoQ9(M+H)_38.85,CoQ,BA_Asyn,0.4997728370657471,0.1038995453674507,A2,APOE2
DG 18:2(M+Na)_10.61,DG,BA_Asyn,0.1962089204709728,0.0320069489626306,A2,APOE2
DG 18:2(M+Na)_6.94,DG,BA_Asyn,0.4170728156877179,0.3899578254072743,A2,APOE2
DG 19:2(M+Na)_14.69,DG,BA_Asyn,0.1429996078155793,0.0308402638358852,A2,APOE2
DG 19:2(M+Na)_16.1,DG,BA_Asyn,0.2549849760464381,0.0687314418290788,A2,APOE2
DG 20:4(M+Na)_10.88,DG,BA_Asyn,0.1675099922755851,0.1251810378309563,A2,APOE2
DG 21:4(M+Na)_15.33,DG,BA_Asyn,0.188903739866594,0.0338496321110532,A2,APOE2
DG 23:2(M+Na)_25.88,DG,BA_Asyn,0.0596782115986621,0.0215266100848851,A2,APOE2
DG 28:2(M+Na)_30.08,DG,BA_Asyn,0.0505482550107535,0.0074580685818286,A2,APOE2
DG 33:1(d7)|DG 15:0_18:1(d7)(M+NH4)_36.81,DG,BA_Asyn,0.0227050244214631,0.1619149157050558,A2,APOE2
DG 34:0|DG 16:0_18:0(M+NH4)_37.96,DG,BA_Asyn,0.344970599000166,0.0569481815110912,A2,APOE2
DG 34:1|DG 16:0_18:1(M+NH4)_37.32,DG,BA_Asyn,0.8591271790614352,0.0421209755784115,A2,APOE2
DG 36:0|DG 18:0_18:0(M+NH4)_38.47,DG,BA_Asyn,0.5443890597023551,1.1520335329069875,A2,APOE2
DG 36:1|DG 18:0_18:1(M+NH4)_37.97,DG,BA_Asyn,1.0,0.0851732123152721,A2,APOE2
DG 36:2|DG 18:1_18:1(M+NH4)_37.33,DG,BA_Asyn,0.5541769125725382,0.0147353376326691,A2,APOE2
DG 36:4|DG 16:0_20:4(M+NH4)_36.06,DG,BA_Asyn,0.469105809022454,0.0454257873335767,A2,APOE2
DG 38:4|DG 18:0_20:4(M+NH4)_37.32,DG,BA_Asyn,0.9001545811965351,0.0519980180452175,A2,APOE2
DG 38:5|DG 18:1_20:4(M+NH4)_36.29,DG,BA_Asyn,0.3405649937746356,0.1387341762526389,A2,APOE2
DG 38:6(M+Na)_35.54,DG,BA_Asyn,0.855453631953316,0.0607470001646533,A2,APOE2
DG 38:6|DG 16:0_22:6(M+NH4)_35.54,DG,BA_Asyn,0.9044965417367457,0.0546171181367298,A2,APOE2
DG 40:2(M+Na)_38.6,DG,BA_Asyn,0.036994161083016,0.007793866958911,A2,APOE2
