Alignment ID,Ontology,metric,value,ci_lower,ci_upper,genotype
AHexCer 56:1;O3|AHexCer (O-16:0)40:1;O3(M+H-[H2O])_14.26,AHexCer,n_value,53.95,19.85,19.849999999999994,APOE2
AHexCer 56:1;O3|AHexCer (O-16:0)40:1;O3(M+H-[H2O])_14.26,AHexCer,n_value,50.8,0.0,0.0,APOE4
AHexCer 56:4;O3|AHexCer (O-16:2)40:2;O3(M+H)_14.05,AHexCer,n_value,67.9,0.0,0.0,APOE2
AHexCer 56:4;O3|AHexCer (O-16:2)40:2;O3(M+H)_14.05,AHexCer,n_value,65.75,5.149999999999999,5.150000000000006,APOE3
AHexCer 56:4;O3|AHexCer (O-16:2)40:2;O3(M+H)_14.05,AHexCer,n_value,46.6,10.5,15.699999999999996,APOE4
C18-Sphingosine(M+H)_6.64,Others,n_value,35.4,0.0,0.0,APOE2
C18-Sphingosine(M+H)_6.64,Others,n_value,33.2,0.0,0.0,APOE3
CAR 16:0(M+H)_5.91,CAR,n_value,18.2,0.0999999999999978,0.3000000000000007,APOE2
CAR 16:0(M+H)_5.91,CAR,n_value,18.5,0.5,0.1000000000000014,APOE3
CAR 16:0(M+H)_5.91,CAR,n_value,19.5,3.6,1.6000000000000014,APOE4
CL 70:4|CL 34:2_36:2(M+NH4)_13.5,CL,n_value,42.1,0.0,0.0,APOE2
CL 70:4|CL 34:2_36:2(M+NH4)_13.5,CL,n_value,74.8,0.0,0.0,APOE3
CL 70:4|CL 34:2_36:2(M+NH4)_13.5,CL,n_value,61.6,10.999999999999991,11.0,APOE4
CL 72:7|CL 16:1_18:1_18:1_20:4(M-H)_13.4,CL,n_value,71.9,0.0,0.0,APOE2
CL 72:7|CL 16:1_18:1_18:1_20:4(M-H)_13.4,CL,n_value,84.4,5.400000000000006,5.399999999999992,APOE3
CL 74:7|CL 18:1_18:1_18:1_20:4(M-H)_13.46,CL,n_value,55.1,0.0,0.0,APOE2
CL 74:7|CL 18:1_18:1_18:1_20:4(M-H)_13.46,CL,n_value,55.9,0.0,0.0,APOE4
CL 74:7|CL 36:2_38:5(M+NH4)_13.47,CL,n_value,55.1,0.0,0.0,APOE2
CL 74:7|CL 36:2_38:5(M+NH4)_13.47,CL,n_value,55.9,0.0,0.0,APOE4
