FA notation,estimated_n_val_low_end (de novo precursor),estimated_n_val_high_end (de novo precursor),n_avg (de novo precursor)
2:0,0,0,0.0
3:0,0,0,0.0
4:0,0,3,1.5
7:0,3,3,3.0
8:0,5,5,5.0
12:0,11,11,11.0
12:2,0,0,0.0
14:0,14,14,14.0
14:1,12,13,12.5
15:0,14,14,14.0
15:1,12,13,12.5
16:0,17,17,17.0
16:1,15,16,15.5
16:2,13,15,14.0
16:3,11,14,12.5
17:0,17,17,17.0
17:1,15,16,15.5
17:2,13,15,14.0
18:0,20,20,20.0
18:1,18,19,19.5
19:0,20,20,20.0
19:1,18,19,18.5
20:0,23,23,23.0
20:1,21,22,21.5
20:4,4,5,4.5
20:5,3,3,3.0
21:0,23,23,23.0
21:1,21,22,21.5
21:2,19,21,20.0
22:0,26,26,26.0
22:1,24,25,24.5
22:2,6,6,6.0
22:3,6,6,6.0
22:4,7,8,7.5
22:5,6,6,6.0
22:6,4,5,4.5
23:0,26,26,26.0
23:1,24,25,24.5
24:00:00,29,29,29.0
24:01:00,27,28,27.5
24:02:00,6,6,6.0
24:04:00,10,11,10.5
25:00:00,29,29,29.0
25:01:00,27,28,27.5
26:00:00,32,32,32.0
26:01:00,30,31,30.5
26:02:00,9,9,9.0
26:04:00,13,14,13.5
