Sample Name,Asymptote,R-squared,Y range,Minutes_left_out,Status
BlaJ-0139_D0_saline_tech1,0.0001446864358508322,0.9997,1.664732e-04,1681.5833333333333,Good
BlaJ-0139_D0_saline_tech2,0.00014320644368958808,0.99969,1.271012e-04,306.96666666666664,Good
BlaJ-0139_D0_saline_tech3,0.00014626915364293093,0.99957,2.304119e-04,2198.0666666666666,Good
BlaJ-0140_D0_saline_tech1,0.0001451218958522779,0.99976,2.214333e-04,161.58333333333334,Good
BlaJ-0140_D0_saline_tech2,0.00014465368843130462,0.9997,1.851625e-04,1972.1166666666666,Good
BlaJ-0140_D0_saline_tech3,0.00014565350035575784,0.99962,2.221976e-04,2101.1833333333334,Good
BlaJ-0142_D0_treatment_tech1,0.00014317763481414448,0.99976,1.377835e-04,710.6333333333333,Good
BlaJ-0142_D0_treatment_tech2,0.00014333827979868006,0.99968,1.443108e-04,371.45,Good
BlaJ-0142_D0_treatment_tech3,0.00014383625263347287,0.99973,1.428006e-04,1907.5833333333333,Good
BlaJ-0145_D0_treatment_tech1,0.00014450101896991524,0.9996,1.610242e-04,2989.2166666666667,Good
BlaJ-0145_D0_treatment_tech2,0.00014143853537245673,0.99789,2.493800e-05,242.28333333333333,Good
BlaJ-0145_D0_treatment_tech3,0.00014045304170997447,0.98365,1.814600e-06,1438.4333333333334,Good
BlaJ-0161_D16_saline_tech1,0.0002835742877426747,0.99872,3.602870e-05,1843.0,Good
BlaJ-0161_D16_saline_tech2,0.0002885645111820987,0.9998,5.260280e-05,2440.3,Good
BlaJ-0161_D16_saline_tech3,0.00028741311937552014,0.99955,5.734200e-05,2311.1666666666665,Good
BlaJ-0162_D16_treatment_tech1,0.000288504903320119,0.98727,4.256010e-05,1746.15,Good
BlaJ-0162_D16_treatment_tech2,0.0002961750415135335,0.99702,8.093070e-05,3021.5,Good
BlaJ-0162_D16_treatment_tech3,0.0002858940677739176,0.99945,7.299340e-05,355.31666666666666,Good
BlaJ-0163_D16_treatment_tech1,0.00027118853188499477,0.99925,3.184090e-05,549.0666666666667,Good
BlaJ-0163_D16_treatment_tech2,0.00026973854210906743,0.9991,3.430740e-05,290.8333333333333,Good
BlaJ-0163_D16_treatment_tech3,0.00027292036711110037,0.99977,9.626710e-05,2553.35,Good
BlaJ-0164_D4_saline_tech1,0.0003029793666666667,0.0,3.293900e-06,532.9333333333333,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0164_D4_saline_tech2,0.0002989392382720593,0.99968,1.217102e-04,1939.85,Good
BlaJ-0164_D4_saline_tech3,0.0003034903827802038,0.96197,9.203500e-06,274.7,Good
BlaJ-0165_D4_treatment_tech1,0.000310897496859298,0.99924,1.324672e-04,1600.8,Good
BlaJ-0165_D4_treatment_tech2,0.00030966602957673077,0.9999,2.629210e-05,662.2333333333333,Good
BlaJ-0165_D4_treatment_tech3,0.000310011844716711,0.97098,4.244780e-05,1406.05,Good
BlaJ-0166_D4_treatment_tech1,0.00027452470050744226,0.99964,1.092400e-04,2617.8333333333335,Good
BlaJ-0166_D4_treatment_tech2,0.0002774412356637273,0.97652,5.032800e-06,2569.4333333333334,Good
BlaJ-0166_D4_treatment_tech3,0.000278717003435353,0.9993,4.436590e-05,2779.3333333333335,Good
BlaJ-0167_D4_saline_tech1,0.00027143348282038796,0.99934,4.257390e-05,613.7,Good
BlaJ-0167_D4_saline_tech2,0.00027950324748039654,0.99962,2.281318e-04,1260.55,Good
BlaJ-0167_D4_saline_tech3,0.0002752295215159552,0.97847,8.901200e-06,3102.1666666666665,Good
BlaJ-0168_D32_saline_tech1,0.00031578912240448,0.99869,5.179210e-05,2020.45,Good
BlaJ-0168_D32_saline_tech2,0.0003206730065988574,0.99955,4.559820e-05,759.15,Good
BlaJ-0168_D32_saline_tech3,0.00031456987335786124,0.99788,3.624800e-05,2521.1,Good
BlaJ-0169_D32_saline_tech1,0.00031279543210219104,0.99017,2.119340e-05,48.416666666666664,Good
BlaJ-0169_D32_saline_tech2,0.00031690846495504655,0.99925,3.877490e-05,1276.6833333333334,Good
BlaJ-0169_D32_saline_tech3,0.0003162936363443999,0.97881,4.808910e-05,1826.8833333333334,Good
BlaJ-0170_D32_treatment_tech1,0.0003022398856599731,0.99429,4.967800e-06,436.1,Good
BlaJ-0170_D32_treatment_tech2,0.00030377056067706817,0.99866,4.350920e-05,1001.6166666666667,Good
BlaJ-0170_D32_treatment_tech3,0.0003032312125765339,0.99933,4.679770e-05,97.01666666666667,Good
BlaJ-0171_D32_saline_tech1,0.0003016757544451555,0.99989,1.981700e-05,1875.3166666666666,Good
BlaJ-0171_D32_saline_tech2,0.00029882669999999994,0.70194,1.349140e-05,2327.3,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0171_D32_saline_tech3,0.0003019685,0.90474,2.935500e-06,840.0166666666667,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0172_D32_treatment_tech1,0.000313189357239431,0.99591,6.343710e-05,2876.116666666667,Good
BlaJ-0172_D32_treatment_tech2,0.00031216790078886697,0.98951,1.749780e-05,2230.35,Good
BlaJ-0172_D32_treatment_tech3,0.0003115458622453397,0.98743,3.439790e-05,2585.5833333333335,Good
BlaJ-0173_D16_saline_tech1,0.0002805695382998391,0.99655,1.379584e-04,2117.25,Good
BlaJ-0173_D16_saline_tech2,0.0002828893013664895,0.99923,4.435890e-05,1212.0333333333333,Good
BlaJ-0173_D16_saline_tech3,0.0002804024152750542,0.9996,6.520300e-05,694.5,Good
BlaJ-0174_D16_treatment_tech1,0.0003105136067847843,0.99924,1.383680e-05,3037.633333333333,Good
BlaJ-0174_D16_treatment_tech2,0.0003051002742701646,0.99937,2.698220e-05,2795.4666666666667,Good
BlaJ-0174_D16_treatment_tech3,0.0003072358666666667,0.0,9.330900e-06,2892.25,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0175_D8_treatment_tech1,0.0003043663,0.87515,4.189600e-06,2973.0833333333335,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0175_D8_treatment_tech2,0.00030609253333333333,0.88095,1.360580e-05,953.1,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0175_D8_treatment_tech3,0.0003071191676359873,0.99897,1.113110e-05,419.96666666666664,Good
BlaJ-0176_D2_saline_tech1,0.00034454213333333334,0.9454,1.647790e-05,2295.0333333333333,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0176_D2_saline_tech2,0.00034154079424837544,0.98774,1.245300e-05,2359.55,Good
BlaJ-0176_D2_saline_tech3,0.00034537746717155064,0.99434,3.474330e-05,1649.1833333333334,Good
BlaJ-0177_D2_treatment_tech1,0.00023011676185375924,0.99956,5.794160e-05,468.3666666666667,Good
BlaJ-0177_D2_treatment_tech2,0.00023155536093256017,0.99925,5.868720e-05,1503.8833333333334,Good
BlaJ-0177_D2_treatment_tech3,0.00022886815402807582,0.96906,1.613430e-05,2730.85,Good
BlaJ-0178_D2_treatment_tech1,0.0002951563333333333,0.59911,7.965700e-06,1762.3,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0178_D2_treatment_tech2,0.00029398903333333336,0.9393,5.401000e-07,1778.4166666666667,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0178_D2_treatment_tech3,0.00028254092012010344,0.9994,1.430236e-04,920.8333333333334,Good
BlaJ-0179_D2_saline_tech1,0.00028469350000000004,0.0,4.164400e-06,2843.866666666667,Lower exponential conformity: Assymptote instead the average of last three measurements
BlaJ-0179_D2_saline_tech2,0.0002833921597790444,0.99938,1.430130e-04,1454.5666666666666,Good
BlaJ-0179_D2_saline_tech3,0.000285095971292737,0.99907,8.927140e-05,3086.0333333333333,Good
BlaJ-0180_D8_treatment_tech1,0.0002795264596512883,0.99963,7.138550e-05,500.65,Good
BlaJ-0180_D8_treatment_tech2,0.00028326065539924195,0.99969,5.905630e-05,1050.1,Good
BlaJ-0180_D8_treatment_tech3,0.0002658671744026134,0.99936,6.364020e-05,2407.9333333333334,Good
BlaJ-0181_D8_saline_tech1,0.0003143427526397018,0.9881,3.089320e-05,1309.0833333333333,Good
BlaJ-0181_D8_saline_tech2,0.0003115576639858991,0.99464,4.597160e-05,1633.0666666666666,Good
BlaJ-0181_D8_saline_tech3,0.00028595023773089306,0.99458,1.584280e-05,1891.45,Good
