Name,S/N,Tray,Position
YF_E2_D0_tech1,Theoretical samples,1,1
YF_E2_D0_tech2,Theoretical samples,1,2
YF_E2_D0_tech3,Theoretical samples,1,3
YF_E2_D32_tech1,Theoretical samples,1,4
YF_E2_D32_tech2,Theoretical samples,1,5
YF_E2_D32_tech3,Theoretical samples,1,6
YM_E2_D0_tech1,Theoretical samples,1,7
YM_E2_D0_tech2,Theoretical samples,1,8
YM_E2_D0_tech3,Theoretical samples,1,9
YM_E2_D32_tech1,Theoretical samples,1,10
YM_E2_D32_tech2,Theoretical samples,1,11
YM_E2_D32_tech3,Theoretical samples,1,12
YF_E3_D0_tech1,Theoretical samples,1,13
YF_E3_D0_tech2,Theoretical samples,1,14
YF_E3_D0_tech3,Theoretical samples,1,15
YM_E3_D0_tech1,Theoretical samples,1,16
YM_E3_D0_tech2,Theoretical samples,1,17
YM_E3_D0_tech3,Theoretical samples,1,18
YM_E3_D32_tech1,Theoretical samples,1,19
YM_E3_D32_tech2,Theoretical samples,1,20
YM_E3_D32_tech3,Theoretical samples,1,21
YF_E4_D0_tech1,Theoretical samples,1,22
YF_E4_D0_tech2,Theoretical samples,1,23
YF_E4_D0_tech3,Theoretical samples,1,24
YF_E4_D32_tech1,Theoretical samples,1,25
YF_E4_D32_tech2,Theoretical samples,1,26
YF_E4_D32_tech3,Theoretical samples,1,27
YM_E4_D0_tech1,Theoretical samples,1,28
YM_E4_D0_tech2,Theoretical samples,1,29
YM_E4_D0_tech3,Theoretical samples,1,30
YM_E4_D32_tech1,Theoretical samples,1,31
YM_E4_D32_tech2,Theoretical samples,1,32
YM_E4_D32_tech3,Theoretical samples,1,33
