Name,S/N,Tray,Position
Curve_1_std_1,Enrichment_0.0%,4,34
Curve_2_std_1,Enrichment_0.0%,4,35
Curve_3_std_1,Enrichment_0.0%,4,36
Curve_1_std_2,Enrichment_0.5%,4,37
Curve_2_std_2,Enrichment_0.5%,4,38
Curve_3_std_2,Enrichment_0.5%,4,39
Curve_1_std_3,Enrichment_1.0%,4,40
Curve_2_std_3,Enrichment_1.0%,4,41
Curve_3_std_3,Enrichment_1.0%,4,42
Curve_1_std_4,Enrichment_2.0%,4,43
Curve_2_std_4,Enrichment_2.0%,4,44
Curve_3_std_4,Enrichment_2.0%,4,45
Curve_1_std_5,Enrichment_4.0%,4,46
Curve_2_std_5,Enrichment_4.0%,4,47
Curve_3_std_5,Enrichment_4.0%,4,48
Curve_1_std_6,Enrichment_6.0%,4,49
Curve_2_std_6,Enrichment_6.0%,4,50
Curve_3_std_6,Enrichment_6.0%,4,51
Curve_1_std_7,Enrichment_10.0%,4,52
Curve_2_std_7,Enrichment_10.0%,4,53
Curve_3_std_7,Enrichment_10.0%,4,54
